コード	銘柄名	株数	取得単価	現在値	損益	PER	PBR	ROE	配当利回り	自己資本比率	営業利益率	業種	直近材料	情報源
7751	キヤノン	未保有	対象外	4258	対象外	11.11	1.08	9.70	3.76	55.04	9.85	電気機器	📈【A】 自己株式取得。 【ファンダメンタル確認値】現在値4258、PER11.11、PBR1.08、ROE9.70、配当利回り3.76、自己資本比率55.04、営業利益率9.85 【直近材料補強 2026/06/29】バリュエーション: PER11.11倍は中立圏。 株主還元: 配当利回り3.76%でインカム妙味。 直近イベント解釈: M&A/提携による成長・再編材料。 セクター材料: AI/半導体・データセンター・自動車電装・円安がテーマ。在庫調整と受注回復が焦点。 次回チェック: 割安×ROEのバランスが良く、押し目候補として優先監視、配当継続性を確認しつつインカム枠で比較可能。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=7751 / 株探決算:https://kabutan.jp/stock/finance?code=7751
7752	リコー	未保有	対象外	1438	対象外	13.20	0.71	5.36	3.06	45.51	3.48	電気機器	📈【A】 自己株式取得・消却。 【ファンダメンタル確認値】現在値1438、PER13.20、PBR0.71、ROE5.36、配当利回り3.06、自己資本比率45.51、営業利益率3.48 【直近材料補強 2026/06/29】バリュエーション: PER13.2倍は中立圏、PBR0.71倍でPBR1倍割れ改善余地。 クオリティ: ROE5.36%で資本効率改善待ち、営業利益率3.48%で採算改善が課題。 株主還元: 配当利回り3.06%でインカム妙味。 直近イベント解釈: M&A/提携による成長・再編材料。 セクター材料: AI/半導体・データセンター・自動車電装・円安がテーマ。在庫調整と受注回復が焦点。 次回チェック: PBR1倍割れでもROE低めのため、資本効率改善策が出るか確認、配当継続性を確認しつつインカム枠で比較可能。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=7752 / 株探決算:https://kabutan.jp/stock/finance?code=7752
7762	シチズン時計	未保有	対象外	2511	対象外	22.28	2.09	9.38	1.99	62.61	8.72	精密機器	📈【B】 PBR2.09で割安感は薄い。 【ファンダメンタル確認値】現在値2511、PER22.28、PBR2.09、ROE9.38、配当利回り1.99、自己資本比率62.61、営業利益率8.72 【直近材料補強 2026/06/29】バリュエーション: PER22.28倍は中立圏。 クオリティ: 自己資本比率62.61%で財務安全性高め。 セクター材料: 医療機器・半導体/計測・円安・中国需要がテーマ。高利益率事業の伸びを確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=7762 / 株探決算:https://kabutan.jp/stock/finance?code=7762
7781	平山ホールディングス	未保有	対象外	1560	対象外	13.54	2.14	15.81	3.59	43.50	3.55	精密機器	📈【A】 M&A材料、配当修正。 【ファンダメンタル確認値】現在値1560、PER13.54、PBR2.14、ROE15.81、配当利回り3.59、自己資本比率43.50、営業利益率3.55 【直近材料補強 2026/06/29】バリュエーション: PER13.54倍は中立圏。 クオリティ: ROE15.81%で資本効率は強め、営業利益率3.55%で採算改善が課題。 株主還元: 配当利回り3.59%でインカム妙味。 直近イベント解釈: M&A/提携による成長・再編材料。 セクター材料: 医療機器・半導体/計測・円安・中国需要がテーマ。高利益率事業の伸びを確認。 次回チェック: 配当継続性を確認しつつインカム枠で比較可能。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=7781 / 株探決算:https://kabutan.jp/stock/finance?code=7781
7846	パイロットコーポレーション	未保有	対象外	5150	対象外	12.90	1.32	10.22	1.63	79.22	13.17	その他製品	📈【B】 自社株式取得・消却履歴。 【ファンダメンタル確認値】現在値5150、PER12.90、PBR1.32、ROE10.22、配当利回り1.63、自己資本比率79.22、営業利益率13.17 【直近材料補強 2026/06/29】バリュエーション: PER12.9倍は中立圏。 クオリティ: 自己資本比率79.22%で財務安全性高め。 直近イベント解釈: M&A/提携による成長・再編材料。 セクター材料: ブランド力・IP/ゲーム・教育/文具など個社要因が強い。新商品/海外展開を確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=7846 / 株探決算:https://kabutan.jp/stock/finance?code=7846
7911	凸版印刷	未保有	対象外	4515	対象外	23.14	0.95	4.11	1.28	52.27	3.91	その他製品	📈【B】 TOPPAN HD。PBR0.95・自社株買い。 【ファンダメンタル確認値】現在値4515、PER23.14、PBR0.95、ROE4.11、配当利回り1.28、自己資本比率52.27、営業利益率3.91 【直近材料補強 2026/06/29】バリュエーション: PER23.14倍は中立圏、PBR0.95倍でPBR1倍割れ改善余地。 クオリティ: ROE4.11%で資本効率改善待ち、営業利益率3.91%で採算改善が課題。 株主還元: 既存材料に明示的な還元関連の記載あり、継続性を確認。 セクター材料: ブランド力・IP/ゲーム・教育/文具など個社要因が強い。新商品/海外展開を確認。 次回チェック: PBR1倍割れでもROE低めのため、資本効率改善策が出るか確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=7911 / 株探決算:https://kabutan.jp/stock/finance?code=7911
7936	アシックス	未保有	対象外	4456	対象外	28.72	9.99	34.80	0.85	49.38	17.57	その他製品	📈【A】 ROE34.80、ブランド成長。 【ファンダメンタル確認値】現在値4456、PER28.72、PBR9.99、ROE34.80、配当利回り0.85、自己資本比率49.38、営業利益率17.57 【直近材料補強 2026/06/29】バリュエーション: PER28.72倍で期待先行/割高感に注意、PBR9.99倍で資産面の割安感は薄い。 クオリティ: ROE34.8%で資本効率は強め、営業利益率17.57%で高収益。 株主還元: 配当利回り0.85%で還元妙味は弱め。 セクター材料: ブランド力・IP/ゲーム・教育/文具など個社要因が強い。新商品/海外展開を確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=7936 / 株探決算:https://kabutan.jp/stock/finance?code=7936
7984	コクヨ	未保有	対象外	835	対象外	17.70	1.40	7.89	2.93	73.09	7.29	その他製品	📈【A】 優待変更・自社株式取得状況。 【ファンダメンタル確認値】現在値835、PER17.70、PBR1.40、ROE7.89、配当利回り2.93、自己資本比率73.09、営業利益率7.29 【直近材料補強 2026/06/29】バリュエーション: PER17.7倍は中立圏。 クオリティ: 自己資本比率73.09%で財務安全性高め。 直近イベント解釈: M&A/提携による成長・再編材料、優待関連の個人投資家需給材料。 セクター材料: ブランド力・IP/ゲーム・教育/文具など個社要因が強い。新商品/海外展開を確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=7984 / 株探決算:https://kabutan.jp/stock/finance?code=7984
8002	丸紅	未保有	対象外	4692	対象外	13.25	1.76	13.29	2.45	41.43	対象外	卸売業	📈【A】 自己株式取得終了。商社の営業利益率は対象外。 【ファンダメンタル確認値】現在値4692、PER13.25、PBR1.76、ROE13.29、配当利回り2.45、自己資本比率41.43、営業利益率対象外 【扱い】総合商社のため営業利益率は単純比較対象外 【直近材料補強 2026/06/29】バリュエーション: PER13.25倍は中立圏。 クオリティ: ROE13.29%で資本効率は強め。 直近イベント解釈: M&A/提携による成長・再編材料。 セクター材料: 資源/食品/部材商社・円安・在庫評価・株主還元がテーマ。市況依存とキャッシュ創出力を確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=8002 / 株探決算:https://kabutan.jp/stock/finance?code=8002
8022	美津濃	未保有	対象外	3480	対象外	13.93	1.53	10.96	1.90	68.94	8.73	その他製品	📈【A】 ROE・財務良好。 【ファンダメンタル確認値】現在値3480、PER13.93、PBR1.53、ROE10.96、配当利回り1.90、自己資本比率68.94、営業利益率8.73 【直近材料補強 2026/06/29】バリュエーション: PER13.93倍は中立圏。 クオリティ: 自己資本比率68.94%で財務安全性高め。 セクター材料: ブランド力・IP/ゲーム・教育/文具など個社要因が強い。新商品/海外展開を確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=8022 / 株探決算:https://kabutan.jp/stock/finance?code=8022
8028	ファミリーマート	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	小売業	➖【C】 上場廃止済み。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【追加確認】通常の上場株比較からは除外候補。ランキング投入時は「投資対象外/参考扱い」とし、代替上場銘柄を確認。	IRBANK/株探/会社IR
8031	三井物産	未保有	対象外	4508	対象外	13.89	1.46	10.49	3.11	42.11	対象外	卸売業	📈【A】 総合商社。営業利益率は対象外。 【ファンダメンタル確認値】現在値4508、PER13.89、PBR1.46、ROE10.49、配当利回り3.11、自己資本比率42.11、営業利益率対象外 【扱い】総合商社のため営業利益率は単純比較対象外 【直近材料補強 2026/06/29】バリュエーション: PER13.89倍は中立圏。 株主還元: 配当利回り3.11%でインカム妙味。 セクター材料: 資源/食品/部材商社・円安・在庫評価・株主還元がテーマ。市況依存とキャッシュ創出力を確認。 次回チェック: 配当継続性を確認しつつインカム枠で比較可能。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=8031 / 株探決算:https://kabutan.jp/stock/finance?code=8031
8053	住友商事	未保有	対象外	6201	対象外	11.74	1.60	13.61	0.65	33.94	対象外	卸売業	📈【B】 自社株取得、ニッケル損失材料。 【ファンダメンタル確認値】現在値6201、PER11.74、PBR1.60、ROE13.61、配当利回り0.65、自己資本比率33.94、営業利益率対象外 【扱い】総合商社のため営業利益率は単純比較対象外 【直近材料補強 2026/06/29】バリュエーション: PER11.74倍は中立圏。 クオリティ: ROE13.61%で資本効率は強め。 株主還元: 配当利回り0.65%で還元妙味は弱め。 セクター材料: 資源/食品/部材商社・円安・在庫評価・株主還元がテーマ。市況依存とキャッシュ創出力を確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=8053 / 株探決算:https://kabutan.jp/stock/finance?code=8053
8058	三菱商事	未保有	対象外	4403	対象外	14.66	1.71	11.65	2.84	39.09	対象外	卸売業	📈【A】 総合商社。営業利益率は対象外。 【ファンダメンタル確認値】現在値4403、PER14.66、PBR1.71、ROE11.65、配当利回り2.84、自己資本比率39.09、営業利益率対象外 【扱い】総合商社のため営業利益率は単純比較対象外 【直近材料補強 2026/06/29】バリュエーション: PER14.66倍は中立圏。 セクター材料: 資源/食品/部材商社・円安・在庫評価・株主還元がテーマ。市況依存とキャッシュ創出力を確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=8058 / 株探決算:https://kabutan.jp/stock/finance?code=8058
8105	堀田丸正	未保有	対象外	153	対象外	赤字	2.47	赤字	0.00	86.23	-15.61	卸売業	📉【D】 Bitcoin Japan。赤字・希薄化/転換リスク。 【ファンダメンタル確認値】現在値153、PER赤字、PBR2.47、ROE赤字、配当利回り0.00、自己資本比率86.23、営業利益率-15.61 【直近材料補強 2026/06/29】クオリティ: 営業利益率-15.61%で採算改善が課題、自己資本比率86.23%で財務安全性高め。 株主還元: 配当利回り0%で還元妙味は弱め。 直近イベント解釈: 業績悪化/減損系のネガティブ材料。 セクター材料: 資源/食品/部材商社・円安・在庫評価・株主還元がテーマ。市況依存とキャッシュ創出力を確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=8105 / 株探決算:https://kabutan.jp/stock/finance?code=8105
8114	デサント	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	繊維製品	➖【C】 上場廃止済み。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【追加確認】通常の上場株比較からは除外候補。ランキング投入時は「投資対象外/参考扱い」とし、代替上場銘柄を確認。	IRBANK/株探/会社IR
8136	サンリオ	未保有	対象外	1092	対象外	20.75	8.50	40.95	1.47	66.38	40.12	卸売業	📈【A】 ROE40.95と高収益。 【ファンダメンタル確認値】現在値1092、PER20.75、PBR8.50、ROE40.95、配当利回り1.47、自己資本比率66.38、営業利益率40.12 【直近材料補強 2026/06/29】バリュエーション: PER20.75倍は中立圏、PBR8.5倍で資産面の割安感は薄い。 クオリティ: ROE40.95%で資本効率は強め、営業利益率40.12%で高収益、自己資本比率66.38%で財務安全性高め。 セクター材料: 資源/食品/部材商社・円安・在庫評価・株主還元がテーマ。市況依存とキャッシュ創出力を確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=8136 / 株探決算:https://kabutan.jp/stock/finance?code=8136
8214	ＡＯＫＩホールディングス	未保有	対象外	1630	対象外	13.72	0.95	6.90	5.52	64.27	8.71	小売業	📈【A】 高配当・PBR1倍割れ。 【ファンダメンタル確認値】現在値1630、PER13.72、PBR0.95、ROE6.90、配当利回り5.52、自己資本比率64.27、営業利益率8.71 【直近材料補強 2026/06/29】バリュエーション: PER13.72倍は中立圏、PBR0.95倍でPBR1倍割れ改善余地。 クオリティ: 自己資本比率64.27%で財務安全性高め。 株主還元: 配当利回り5.52%で高配当候補。 セクター材料: インバウンド・値上げ・PB/EC・人件費がテーマ。既存店売上と粗利率が焦点。 次回チェック: 配当継続性を確認しつつインカム枠で比較可能。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=8214 / 株探決算:https://kabutan.jp/stock/finance?code=8214
8227	しまむら	未保有	対象外	3225	対象外	14.15	1.37	9.69	2.48	88.08	8.78	小売業	📈【B】 決算待ち、安定感あり。 【ファンダメンタル確認値】現在値3225、PER14.15、PBR1.37、ROE9.69、配当利回り2.48、自己資本比率88.08、営業利益率8.78 【直近材料補強 2026/06/29】バリュエーション: PER14.15倍は中立圏。 クオリティ: 自己資本比率88.08%で財務安全性高め。 セクター材料: インバウンド・値上げ・PB/EC・人件費がテーマ。既存店売上と粗利率が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=8227 / 株探決算:https://kabutan.jp/stock/finance?code=8227
8279	ヤオコー	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	小売業	➖【C】 現行上場主体・コード確認が必要。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【追加確認】通常の上場株比較からは除外候補。ランキング投入時は「投資対象外/参考扱い」とし、代替上場銘柄を確認。	IRBANK/株探/会社IR
8316	三井住友フィナンシャルグループ	未保有	対象外	6391	対象外	14.35	1.55	10.77	2.82	5.03	対象外	銀行業	📈【A】 自社株買い進捗。銀行業の営業利益率は対象外。 【ファンダメンタル確認値】現在値6391、PER14.35、PBR1.55、ROE10.77、配当利回り2.82、自己資本比率5.03、営業利益率対象外 【扱い】銀行業のため営業利益率は単純比較対象外 【直近材料補強 2026/06/29】バリュエーション: PER14.35倍は中立圏。 クオリティ: 自己資本比率5.03%で財務レバレッジに注意。 株主還元: 既存材料に明示的な還元関連の記載あり、継続性を確認。 セクター材料: 金利上昇・利ざや改善・政策保有株売却・還元強化がテーマ。債券含み損と与信費用を確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=8316 / 株探決算:https://kabutan.jp/stock/finance?code=8316
8411	みずほフィナンシャルグループ	未保有	対象外	7794	対象外	14.62	1.68	11.49	1.92	3.74	対象外	銀行業	📈【A】 自社株買い進捗。銀行業の営業利益率は対象外。 【ファンダメンタル確認値】現在値7794、PER14.62、PBR1.68、ROE11.49、配当利回り1.92、自己資本比率3.74、営業利益率対象外 【扱い】銀行業のため営業利益率は単純比較対象外 【直近材料補強 2026/06/29】バリュエーション: PER14.62倍は中立圏。 クオリティ: 自己資本比率3.74%で財務レバレッジに注意。 株主還元: 既存材料に明示的な還元関連の記載あり、継続性を確認。 セクター材料: 金利上昇・利ざや改善・政策保有株売却・還元強化がテーマ。債券含み損と与信費用を確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=8411 / 株探決算:https://kabutan.jp/stock/finance?code=8411
8566	リコーリース	未保有	対象外	6050	対象外	15.67	0.77	4.92	4.23	16.49	対象外	その他金融業	📈【B】 高配当・PBR1倍割れだがROE低め。 【ファンダメンタル確認値】現在値6050、PER15.67、PBR0.77、ROE4.92、配当利回り4.23、自己資本比率16.49、営業利益率対象外 【直近材料補強 2026/06/29】バリュエーション: PER15.67倍は中立圏、PBR0.77倍でPBR1倍割れ改善余地。 クオリティ: ROE4.92%で資本効率改善待ち、自己資本比率16.49%で財務レバレッジに注意。 株主還元: 配当利回り4.23%で高配当候補。 セクター材料: リース/カード/決済・金利・与信費用・株主還元がテーマ。資金調達コストを確認。 次回チェック: PBR1倍割れでもROE低めのため、資本効率改善策が出るか確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=8566 / 株探決算:https://kabutan.jp/stock/finance?code=8566
8801	三井不動産	未保有	対象外	1480	対象外	14.11	1.23	8.70	2.50	32.44	14.68	不動産業	📈【B】 総合デベロッパー、安定感あり。 【ファンダメンタル確認値】現在値1480、PER14.11、PBR1.23、ROE8.70、配当利回り2.50、自己資本比率32.44、営業利益率14.68 【直近材料補強 2026/06/29】バリュエーション: PER14.11倍は中立圏。 セクター材料: 金利・都心再開発・賃料上昇・インバウンド/ホテルがテーマ。含み益と金利感応度を確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=8801 / 株探決算:https://kabutan.jp/stock/finance?code=8801
8876	リログループ	未保有	対象外	1887	対象外	13.97	3.41	24.44	2.60	26.08	20.40	サービス業	📈【A】 ROE24.44・営業利益率20.40。 【ファンダメンタル確認値】現在値1887、PER13.97、PBR3.41、ROE24.44、配当利回り2.60、自己資本比率26.08、営業利益率20.40 【直近材料補強 2026/06/29】バリュエーション: PER13.97倍は中立圏、PBR3.41倍で資産面の割安感は薄い。 クオリティ: ROE24.44%で資本効率は強め、営業利益率20.4%で高収益。 セクター材料: 人材/警備/教育/外食/レジャーなど個社差が大きい。人件費上昇と価格転嫁が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=8876 / 株探決算:https://kabutan.jp/stock/finance?code=8876
8999	グランディハウス	未保有	対象外	505	対象外	13.31	0.58	4.37	6.34	36.51	3.57	不動産業	📈【B】 高配当・低PBRだがROE低い。 【ファンダメンタル確認値】現在値505、PER13.31、PBR0.58、ROE4.37、配当利回り6.34、自己資本比率36.51、営業利益率3.57 【直近材料補強 2026/06/29】バリュエーション: PER13.31倍は中立圏、PBR0.58倍でPBR1倍割れ改善余地。 クオリティ: ROE4.37%で資本効率改善待ち、営業利益率3.57%で採算改善が課題。 株主還元: 配当利回り6.34%で高配当候補。 セクター材料: 金利・都心再開発・賃料上昇・インバウンド/ホテルがテーマ。含み益と金利感応度を確認。 次回チェック: PBR1倍割れでもROE低めのため、資本効率改善策が出るか確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=8999 / 株探決算:https://kabutan.jp/stock/finance?code=8999
9006	京浜急行電鉄	未保有	対象外	1447	対象外	12.94	1.00	7.73	3.18	34.40	12.13	陸運業	📈【B】 配当3.18、鉄道・不動産回復期待。 【ファンダメンタル確認値】現在値1447、PER12.94、PBR1.00、ROE7.73、配当利回り3.18、自己資本比率34.40、営業利益率12.13 【直近材料補強 2026/06/29】バリュエーション: PER12.94倍は中立圏。 株主還元: 配当利回り3.18%でインカム妙味。 セクター材料: 運賃改定・物流2024年問題・人件費・インバウンド/通勤需要がテーマ。コスト転嫁が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=9006 / 株探決算:https://kabutan.jp/stock/finance?code=9006
9020	東日本旅客鉄道	未保有	対象外	3386	対象外	14.99	1.25	8.37	2.48	28.16	13.43	陸運業	📈【B】 旅客需要回復と不動産収益。 【ファンダメンタル確認値】現在値3386、PER14.99、PBR1.25、ROE8.37、配当利回り2.48、自己資本比率28.16、営業利益率13.43 【直近材料補強 2026/06/29】バリュエーション: PER14.99倍は中立圏。 セクター材料: 運賃改定・物流2024年問題・人件費・インバウンド/通勤需要がテーマ。コスト転嫁が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=9020 / 株探決算:https://kabutan.jp/stock/finance?code=9020
9058	トランコム	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	陸運業	➖【C】 上場廃止済み。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【追加確認】通常の上場株比較からは除外候補。ランキング投入時は「投資対象外/参考扱い」とし、代替上場銘柄を確認。	IRBANK/株探/会社IR
9086	日立物流	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	陸運業	➖【C】 上場廃止済み。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【追加確認】通常の上場株比較からは除外候補。ランキング投入時は「投資対象外/参考扱い」とし、代替上場銘柄を確認。	IRBANK/株探/会社IR
9101	日本郵船	未保有	対象外	5265	対象外	10.95	0.69	6.35	3.80	59.06	7.32	海運業	📈【B】 PBR1倍割れ・配当3.80、海運市況リスク。 【ファンダメンタル確認値】現在値5265、PER10.95、PBR0.69、ROE6.35、配当利回り3.80、自己資本比率59.06、営業利益率7.32 【直近材料補強 2026/06/29】バリュエーション: PER10.95倍は中立圏、PBR0.69倍でPBR1倍割れ改善余地。 株主還元: 配当利回り3.8%でインカム妙味。 セクター材料: コンテナ/ドライバルク市況・為替・株主還元がテーマ。市況ピークアウトと減配リスクに注意。 次回チェック: 配当継続性を確認しつつインカム枠で比較可能。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=9101 / 株探決算:https://kabutan.jp/stock/finance?code=9101
9201	日本航空	未保有	対象外	2846	対象外	11.12	0.95	8.53	3.37	40.32	10.30	空運業	📈【B】 航空需要回復、燃油・為替リスク。 【ファンダメンタル確認値】現在値2846、PER11.12、PBR0.95、ROE8.53、配当利回り3.37、自己資本比率40.32、営業利益率10.30 【直近材料補強 2026/06/29】バリュエーション: PER11.12倍は中立圏、PBR0.95倍でPBR1倍割れ改善余地。 株主還元: 配当利回り3.37%でインカム妙味。 セクター材料: 国際線/インバウンド・燃油・円安・機材費がテーマ。旅客単価と燃油ヘッジを確認。 次回チェック: 割安×ROEのバランスが良く、押し目候補として優先監視、配当継続性を確認しつつインカム枠で比較可能。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=9201 / 株探決算:https://kabutan.jp/stock/finance?code=9201
9202	ＡＮＡホールディングス	未保有	対象外	3000	対象外	14.18	0.91	6.43	2.00	37.72	8.56	空運業	📈【B】 自社株買い進捗。 【ファンダメンタル確認値】現在値3000、PER14.18、PBR0.91、ROE6.43、配当利回り2.00、自己資本比率37.72、営業利益率8.56 【直近材料補強 2026/06/29】バリュエーション: PER14.18倍は中立圏、PBR0.91倍でPBR1倍割れ改善余地。 株主還元: 既存材料に明示的な還元関連の記載あり、継続性を確認。 セクター材料: 国際線/インバウンド・燃油・円安・機材費がテーマ。旅客単価と燃油ヘッジを確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=9202 / 株探決算:https://kabutan.jp/stock/finance?code=9202
9412	スカパーＪＳＡＴホールディングス	未保有	対象外	2485	対象外	26.09	2.32	8.89	1.93	74.44	27.65	情報・通信業	📈【B】 衛星通信テーマだがPER高め。 【ファンダメンタル確認値】現在値2485、PER26.09、PBR2.32、ROE8.89、配当利回り1.93、自己資本比率74.44、営業利益率27.65 【直近材料補強 2026/06/29】バリュエーション: PER26.09倍で期待先行/割高感に注意。 クオリティ: 営業利益率27.65%で高収益、自己資本比率74.44%で財務安全性高め。 セクター材料: AI/クラウド/通信値上げ・DX投資・サイバーセキュリティがテーマ。競争環境と投資負担を確認。 次回チェック: 高PERを正当化する成長材料が追加で必要。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=9412 / 株探決算:https://kabutan.jp/stock/finance?code=9412
9417	スマートバリュー	未保有	対象外	333	対象外	赤字	2.35	赤字	3.00	6.24	4.40	情報・通信業	📉【D】 赤字・自己資本比率低い。 【ファンダメンタル確認値】現在値333、PER赤字、PBR2.35、ROE赤字、配当利回り3.00、自己資本比率6.24、営業利益率4.40 【直近材料補強 2026/06/29】クオリティ: 営業利益率4.4%で採算改善が課題、自己資本比率6.24%で財務レバレッジに注意。 株主還元: 配当利回り3%でインカム妙味。 直近イベント解釈: 業績悪化/減損系のネガティブ材料。 セクター材料: AI/クラウド/通信値上げ・DX投資・サイバーセキュリティがテーマ。競争環境と投資負担を確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=9417 / 株探決算:https://kabutan.jp/stock/finance?code=9417
9432	日本電信電話	未保有	対象外	144	対象外	11.96	1.21	10.07	3.75	20.82	11.84	情報・通信業	📈【A】 26/3期営業利益率11.84、高配当大型通信株。 【ファンダメンタル確認値】現在値144、PER11.96、PBR1.21、ROE10.07、配当利回り3.75、自己資本比率20.82、営業利益率11.84 【直近材料補強 2026/06/29】バリュエーション: PER11.96倍は中立圏。 クオリティ: 自己資本比率20.82%で財務レバレッジに注意。 株主還元: 配当利回り3.75%でインカム妙味。 セクター材料: AI/クラウド/通信値上げ・DX投資・サイバーセキュリティがテーマ。競争環境と投資負担を確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=9432 / 株探決算:https://kabutan.jp/stock/finance?code=9432
